N,Algorithm,Mean_Training_Time,Median_Training_Time,Std_Training_Time,Min_Training_Time,Max_Training_Time,Mean_Accuracy
1000,CNN,1.3377171000174712,1.3377171000174712,0.0,1.3377171000174712,1.3377171000174712,0.7288
1000,Naive Bayes,0.001984200003789738,0.001984200003789738,0.0,0.001984200003789738,0.001984200003789738,0.7149
1000,Random Forest,0.15380269999150187,0.15380269999150187,0.0,0.15380269999150187,0.15380269999150187,0.736
1000,SVM,0.018686900002649054,0.018686900002649054,0.0,0.018686900002649054,0.018686900002649054,0.7392
1000,XGBoost,0.05110330000752583,0.05110330000752583,0.0,0.05110330000752583,0.05110330000752583,0.7217
5000,CNN,2.995785999984946,2.995785999984946,0.0,2.995785999984946,2.995785999984946,0.7484
5000,Naive Bayes,0.0031758999975863844,0.0031758999975863844,0.0,0.0031758999975863844,0.0031758999975863844,0.7197
5000,Random Forest,0.46442770000430755,0.46442770000430755,0.0,0.46442770000430755,0.46442770000430755,0.7385
5000,SVM,0.3978988000017125,0.3978988000017125,0.0,0.3978988000017125,0.3978988000017125,0.7487
5000,XGBoost,0.0838242000027094,0.0838242000027094,0.0,0.0838242000027094,0.0838242000027094,0.739
10000,CNN,4.994086599996081,4.994086599996081,0.0,4.994086599996081,4.994086599996081,0.75
10000,Naive Bayes,0.0035754000127781183,0.0035754000127781183,0.0,0.0035754000127781183,0.0035754000127781183,0.7206
10000,Random Forest,0.7531293999927584,0.7531293999927584,0.0,0.7531293999927584,0.7531293999927584,0.7403
10000,SVM,1.9359344999829773,1.9359344999829773,0.0,1.9359344999829773,1.9359344999829773,0.7521
10000,XGBoost,0.11696270000538789,0.11696270000538789,0.0,0.11696270000538789,0.11696270000538789,0.7515
